URL,URL,UniqueAbbridged,09/27_Sum,10/29_Sum,Total
http://dmsreports.corp.oncor.com/DMSReports/OMS/Device/ConnectivityErrors#/System/All/,OMS/Device/ConnectivityErrors#/System/All/,OMS/Device/ConnectivityErrors,0,18,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Device/DeviceTrips#/System/All/,OMS/Device/DeviceTrips#/System/All/,OMS/Device/DeviceTrips,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/Device/Feeders/#/System/All/,OMS/Device/Feeders/#/System/All/,OMS/Device/Feeders/,141,12,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Device/Normal#/System/All/,OMS/Device/Normal#/System/All/,OMS/Device/Normal,3,0,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Device/RepeatInterruptions#/System/All/,OMS/Device/RepeatInterruptions#/System/All/,OMS/Device/RepeatInterruptions,19,107,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Device/RepeatInterruptions/Actions/Find,OMS/Device/RepeatInterruptions/Actions/Find,OMS/Device/RepeatInterruptions/Actions/Find,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/Device/RepeatInterruptions/Events/#/System/All/?minMinutes=0,OMS/Device/RepeatInterruptions/Events/#/System/All/?minMinutes=0,OMS/Device/RepeatInterruptions/Events/,19,107,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Device/Tags/#/System/All/,OMS/Device/Tags/#/System/All/,OMS/Device/Tags/,146,100,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Device/Tags/OpenTagsBySeries#/System/All/,OMS/Device/Tags/OpenTagsBySeries#/System/All/,OMS/Device/Tags/OpenTagsBySeries,1,0,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/DISFix/History/System/All,OMS/DISFix/History/System/All,OMS/DISFix,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/DSO/Summary#/System/All/,OMS/DSO/Summary#/System/All/,OMS/DSO,6,0,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/ETOR/Changes/System/All?areaGroup=System,OMS/ETOR/Changes/System/All?areaGroup=System,OMS/ETOR/Changes,0,5,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/ETOR/RestorationSummary/System/All?areaGroup=System,OMS/ETOR/RestorationSummary/System/All?areaGroup=System,OMS/ETOR/RestorationSummary,0,21,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Event/Find,OMS/Event/Find,OMS/Event/Find,972,7129,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Event/Find/Chronology,OMS/Event/Find/Chronology,OMS/Event/Find/Chronology,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/Event/Find/Maximo,OMS/Event/Find/Maximo,OMS/Event/Find/Maximo,220,264,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Event/Find/WithWorkOrder,OMS/Event/Find/WithWorkOrder,OMS/Event/Find/WithWorkOrder,122,950,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Event/OpenEvents/WithClosedOrders#/System/All/,OMS/Event/OpenEvents/WithClosedOrders#/System/All/,OMS/Event/OpenEvents/WithClosedOrders,0,6,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/EventSearch/BrushPickup#/System/All/,OMS/EventSearch/BrushPickup#/System/All/,OMS/EventSearch/BrushPickup,0,21,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/EventSearch/Closed/#/System/All/,OMS/EventSearch/Closed/#/System/All/,OMS/EventSearch/Closed/,431,708,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/EventSearch/TreeTrim#/System/All/,OMS/EventSearch/TreeTrim#/System/All/,OMS/EventSearch/TreeTrim,0,110,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Export/Customers,OMS/Export/Customers,OMS/Export/Customers,2,12,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Interruption/History#/System/All/,OMS/Interruption/History#/System/All/,OMS/Interruption/History,218,9,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Interruption/History#/System/All/,OMS/Interruption/History#/System/All/,OMS/Interruption/History,218,9,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Meter/Removed#/System/All/,OMS/Meter/Removed#/System/All/,OMS/Meter/Removed,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/MeterInterruptions#/System/All/,OMS/MeterInterruptions#/System/All/,OMS/MeterInterruptions,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/MissedETOREvent/MissedETOREvents/System/All?areaGroup=System,OMS/MissedETOREvent/MissedETOREvents/System/All?areaGroup=System,OMS/MissedETOREvent,0,18,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/NotificationByFeeder/#/,OMS/NotificationByFeeder/#/,OMS/NotificationByFeeder/,36,9,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/OpenEvents/AgingTickets#/System/All/,OMS/OpenEvents/AgingTickets#/System/All/,OMS/OpenEvents/AgingTickets,67421,271290,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/OpenEvents/InMWM/#/,OMS/OpenEvents/InMWM/#/,OMS/OpenEvents/InMWM/,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/OpenEvents/PowerQuality#/System/All/,OMS/OpenEvents/PowerQuality#/System/All/,OMS/OpenEvents/PowerQuality,1825,150,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/OpenEvents/ServiceDamage#/System/All/,OMS/OpenEvents/ServiceDamage#/System/All/,OMS/OpenEvents/ServiceDamage,36509,317696,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/OpenEvents/SummaryByNode#/System/All/,OMS/OpenEvents/SummaryByNode#/System/All/,OMS/OpenEvents/SummaryByNode,8,3893,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/OpenEvents/WithOpenOrders#/System/All/,OMS/OpenEvents/WithOpenOrders#/System/All/,OMS/OpenEvents/WithOpenOrders,2,256,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Outage/History/Chart#/System/All/,OMS/Outage/History/Chart#/System/All/,OMS/Outage/History/Chart,16,707,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Outage/Open/#/System/All/,OMS/Outage/Open/#/System/All/,OMS/Outage/Open/,235639,1791719,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Outage/Open/ByCity#/,OMS/Outage/Open/ByCity#/,OMS/Outage/Open/ByCity,0,2989,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Outage/Open/ByCounty#/System/All/,OMS/Outage/Open/ByCounty#/System/All/,OMS/Outage/Open/ByCounty,0,100,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Outage/Open/ByZip#/System/All/,OMS/Outage/Open/ByZip#/System/All/,OMS/Outage/Open/ByZip,1273,4461,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Outage/Open/FeedersWithTrouble#/System/All/,OMS/Outage/Open/FeedersWithTrouble#/System/All/,OMS/Outage/Open/FeedersWithTrouble,0,46,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Outage/Open/ForCity#/,OMS/Outage/Open/ForCity#/,OMS/Outage/Open/ForCity,0,3700,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/PCLogger/History,OMS/PCLogger/History,OMS/PCLogger/History,6,4,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/PlannedOutage/Find,OMS/PlannedOutage/Find,OMS/PlannedOutage/Find,0,2,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/PlannedOutage/Search#/System/All/,OMS/PlannedOutage/Search#/System/All/,OMS/PlannedOutage/Search,12,3,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/PremiseRunback/,OMS/PremiseRunback/,OMS/PremiseRunback/,10512,24148,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/PremiseRunback/#/?openOnly=True,OMS/PremiseRunback/#/?openOnly=True,OMS/PremiseRunback/,10512,24148,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/ResponseTime#/System/All/,OMS/ResponseTime#/System/All/,OMS/ResponseTime,0,5,1
